"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"hr.hrg.dialog.core.AllocationBenchmark.hashStringUtf16:gc.count","thrpt",1,7,0.000000,NaN,"counts"
"hr.hrg.dialog.core.AllocationBenchmark.streamingNewPerCall","thrpt",1,7,41.279601,0.747053,"ops/us"
"hr.hrg.dialog.core.AllocationBenchmark.streamingNewPerCall:gc.alloc.rate","thrpt",1,7,5352.897139,96.924496,"MB/sec"
"hr.hrg.dialog.core.AllocationBenchmark.streamingNewPerCall:gc.alloc.rate.norm","thrpt",1,7,136.000169,0.000003,"B/op"
"hr.hrg.dialog.core.AllocationBenchmark.streamingNewPerCall:gc.count","thrpt",1,7,52.000000,NaN,"counts"
"hr.hrg.dialog.core.AllocationBenchmark.streamingNewPerCall:gc.time","thrpt",1,7,37.000000,NaN,"ms"
"hr.hrg.dialog.core.AllocationBenchmark.streamingReused","thrpt",1,7,44.341773,1.525112,"ops/us"
"hr.hrg.dialog.core.AllocationBenchmark.streamingReused:gc.alloc.rate","thrpt",1,7,0.006572,0.000084,"MB/sec"
"hr.hrg.dialog.core.AllocationBenchmark.streamingReused:gc.alloc.rate.norm","thrpt",1,7,0.000155,0.000005,"B/op"
"hr.hrg.dialog.core.AllocationBenchmark.streamingReused:gc.count","thrpt",1,7,0.000000,NaN,"counts"
"hr.hrg.dialog.core.AllocationBenchmark.stringBytes","thrpt",1,7,42.958924,2.558245,"ops/us"
"hr.hrg.dialog.core.AllocationBenchmark.stringBytes:gc.alloc.rate","thrpt",1,7,0.006588,0.000098,"MB/sec"
"hr.hrg.dialog.core.AllocationBenchmark.stringBytes:gc.alloc.rate.norm","thrpt",1,7,0.000161,0.000008,"B/op"
"hr.hrg.dialog.core.AllocationBenchmark.stringBytes:gc.count","thrpt",1,7,0.000000,NaN,"counts"
